id,shop_name,customer since,orders,num_order
1,Dablist,2,692261,3
2,Dynava,3,2102690,20
3,Fivespan,2,4653475,12
4,Demivee,1,2950648,17
5,Tazz,2,2247424,19
6,Skipstorm,2,4203714,17
7,Feedmix,1,4074519,11
8,Teklist,2,1909548,6
9,Livetube,2,4326621,16
10,Brainlounge,2,2600750,20
11,Skimia,1,2969149,3
12,Fiveclub,1,4128702,14
13,Mynte,3,1228885,6
14,Rhynyx,3,4884605,7
15,Kayveo,2,3564574,17
16,Dabshots,1,4042001,11
17,Youspan,1,3212840,18
18,Zoozzy,1,2508060,13
19,Quaxo,1,3296059,5
20,Fanoodle,3,3629460,7
21,Digitube,2,1362078,13
22,LiveZ,2,1840100,2
23,Katz,3,1972494,17
24,Rhyloo,2,1091666,17
25,Voolia,3,4873679,18
26,Gabtune,2,1290382,7
27,Wordtune,3,4089996,17
28,Skiba,1,3892952,14
29,Trilith,1,3172456,8
30,Blogtag,3,4646734,9
31,Skiptube,3,1206610,6
32,Photobug,3,326959,9
33,Skippad,3,3578913,11
34,Photofeed,2,1142764,17
35,Chatterpoint,3,1603397,14
36,Yambee,1,2761010,17
37,Zoonoodle,2,989073,11
38,Fliptune,3,3644253,1
39,Oloo,3,1275887,13
40,Eire,2,1133082,5
41,Mita,2,2873387,10
42,Myworks,2,1041582,1
43,Dablist,1,3456190,11
44,Meetz,3,3835653,7
45,Eire,2,3121094,20
46,Tagchat,1,180135,18
47,Zoomcast,2,2558082,15
48,Realbuzz,3,1833392,15
49,Tagfeed,3,104895,18
50,Realblab,2,95251,19
51,Tekfly,3,3188022,11
52,Skyvu,1,402456,4
53,Voolith,2,2685997,9
54,Twitterlist,3,4509086,13
55,Voonix,3,4004052,12
56,Dabfeed,1,1201842,8
57,Tanoodle,3,1819746,11
58,Bluezoom,2,2013786,4
59,Eire,1,4525079,20
60,Avamm,2,1923057,10
61,Skipfire,3,316530,16
62,Jaxspan,3,4681259,4
63,Aivee,2,2155336,19
64,Quinu,2,4995821,6
65,Mycat,2,107240,1
66,Photobug,3,4936119,10
67,Gabvine,2,3955637,9
68,Mita,3,3640561,10
69,Quaxo,1,179200,5
70,Flashspan,2,4596809,16
71,Centidel,1,569653,18
72,Jamia,2,2296273,8
73,Quimm,2,647418,6
74,Dynabox,2,1362715,6
75,Lajo,1,2374214,19
76,Yodo,2,3592297,9
77,Katz,1,3316410,15
78,Buzzshare,2,3475258,2
79,Tagopia,2,322408,5
80,Edgewire,2,3960862,7
81,Edgetag,3,125269,3
82,Zoozzy,2,520414,13
83,Photojam,2,607664,6
84,Zoomzone,2,2374623,2
85,Jayo,3,42412,4
86,Abatz,1,1995047,14
87,Skibox,1,4596364,7
88,Cogilith,3,3073166,1
89,Ooba,2,1957472,12
90,Twitterworks,3,1799138,14
91,Dazzlesphere,1,590487,5
92,Vinte,3,4259181,11
93,Zoonoodle,2,1682615,7
94,Zazio,1,636746,20
95,Meeveo,2,4043869,10
96,Gigabox,1,506276,11
